Finish_Sec,Rank,Name,Gender,Age,Finish,Pace,Strava Activity,Finish_Sec
"(9000, 9060]",0,0,0,0,0,0,0,0
"(9060, 9120]",0,0,0,0,0,0,0,0
"(9120, 9180]",1,1,1,1,1,1,1,1
"(9180, 9240]",0,0,0,0,0,0,0,0
"(9240, 9300]",1,1,1,1,1,1,1,1
"(9300, 9360]",0,0,0,0,0,0,0,0
"(9360, 9420]",0,0,0,0,0,0,0,0
"(9420, 9480]",1,1,1,1,1,1,1,1
"(9480, 9540]",1,1,1,0,1,1,1,1
"(9540, 9600]",1,1,1,1,1,1,1,1
"(9600, 9660]",0,0,0,0,0,0,0,0
"(9660, 9720]",0,0,0,0,0,0,0,0
"(9720, 9780]",0,0,0,0,0,0,0,0
"(9780, 9840]",0,0,0,0,0,0,0,0
"(9840, 9900]",0,0,0,0,0,0,0,0
"(9900, 9960]",1,1,1,0,1,1,1,1
"(9960, 10020]",1,1,1,1,1,1,1,1
"(10020, 10080]",0,0,0,0,0,0,0,0
"(10080, 10140]",1,1,0,0,1,1,1,1
"(10140, 10200]",0,0,0,0,0,0,0,0
"(10200, 10260]",3,3,3,3,3,3,3,3
"(10260, 10320]",2,2,2,1,2,2,2,2
"(10320, 10380]",1,1,1,1,1,1,1,1
"(10380, 10440]",2,2,2,2,2,2,2,2
"(10440, 10500]",2,2,2,1,2,2,2,2
"(10500, 10560]",1,1,1,1,1,1,1,1
"(10560, 10620]",4,4,4,3,4,4,4,4
"(10620, 10680]",3,3,3,2,3,3,3,3
"(10680, 10740]",5,5,5,5,5,5,5,5
"(10740, 10800]",6,6,6,4,6,6,6,6
"(10800, 10860]",3,3,3,2,3,3,3,3
"(10860, 10920]",3,3,2,1,3,3,3,3
"(10920, 10980]",3,3,3,3,3,3,3,3
"(10980, 11040]",1,1,1,1,1,1,1,1
"(11040, 11100]",4,4,3,3,4,4,4,4
"(11100, 11160]",2,2,2,2,2,2,2,2
"(11160, 11220]",4,4,4,2,4,4,4,4
"(11220, 11280]",3,3,3,3,3,3,3,3
"(11280, 11340]",4,4,4,3,4,4,4,4
"(11340, 11400]",3,3,3,2,3,3,3,3
"(11400, 11460]",1,1,1,0,1,1,1,1
"(11460, 11520]",2,2,2,2,2,2,2,2
"(11520, 11580]",5,5,5,3,5,5,5,5
"(11580, 11640]",3,3,3,3,3,3,3,3
"(11640, 11700]",7,7,7,5,7,7,7,7
"(11700, 11760]",5,5,5,5,5,5,5,5
"(11760, 11820]",5,5,4,4,5,5,5,5
"(11820, 11880]",6,6,5,5,6,6,6,6
"(11880, 11940]",8,8,8,7,8,8,8,8
"(11940, 12000]",6,6,6,6,6,6,6,6
"(12000, 12060]",7,7,5,3,7,7,7,7
"(12060, 12120]",3,3,3,2,3,3,3,3
"(12120, 12180]",10,10,9,5,10,10,10,10
"(12180, 12240]",3,3,3,2,3,3,3,3
"(12240, 12300]",10,10,10,8,10,10,10,10
"(12300, 12360]",6,6,5,4,6,6,6,6
"(12360, 12420]",6,6,5,4,6,6,6,6
"(12420, 12480]",4,4,4,3,4,4,4,4
"(12480, 12540]",9,9,8,7,9,9,9,9
"(12540, 12600]",15,15,15,9,15,15,15,15
"(12600, 12660]",9,9,7,7,9,9,9,9
"(12660, 12720]",5,5,5,5,5,5,5,5
"(12720, 12780]",8,8,8,5,8,8,8,8
"(12780, 12840]",10,10,9,8,10,10,10,10
"(12840, 12900]",5,5,5,5,5,5,5,5
"(12900, 12960]",9,9,9,6,9,9,9,9
"(12960, 13020]",10,10,10,7,10,10,10,10
"(13020, 13080]",6,6,6,3,6,6,6,6
"(13080, 13140]",11,11,11,11,11,11,11,11
"(13140, 13200]",8,8,8,5,8,8,8,8
"(13200, 13260]",6,6,5,3,6,6,6,6
"(13260, 13320]",9,9,9,7,9,9,9,9
"(13320, 13380]",6,6,5,3,6,6,6,6
"(13380, 13440]",9,9,8,5,9,9,9,9
"(13440, 13500]",8,8,8,6,8,8,8,8
"(13500, 13560]",8,8,8,6,8,8,8,8
"(13560, 13620]",11,11,11,8,11,11,11,11
"(13620, 13680]",12,12,12,9,12,12,12,12
"(13680, 13740]",15,15,15,12,15,15,15,15
"(13740, 13800]",15,15,14,10,15,15,15,15
"(13800, 13860]",14,14,14,11,14,14,14,14
"(13860, 13920]",5,5,5,3,5,5,5,5
"(13920, 13980]",6,6,6,4,6,6,6,6
"(13980, 14040]",12,12,12,8,12,12,12,12
"(14040, 14100]",15,15,14,13,15,15,15,15
"(14100, 14160]",9,9,9,6,9,9,9,9
"(14160, 14220]",8,8,8,7,8,8,8,8
"(14220, 14280]",17,17,17,13,17,17,17,17
"(14280, 14340]",11,11,10,5,11,11,11,11
"(14340, 14400]",19,19,17,13,19,19,19,19
"(14400, 14460]",12,12,12,10,12,12,12,12
"(14460, 14520]",8,8,7,6,8,8,8,8
"(14520, 14580]",4,4,4,4,4,4,4,4
"(14580, 14640]",6,6,6,4,6,6,6,6
"(14640, 14700]",12,12,11,10,12,12,12,12
"(14700, 14760]",6,6,6,6,6,6,6,6
"(14760, 14820]",5,5,5,5,5,5,5,5
"(14820, 14880]",12,12,12,9,12,12,12,12
"(14880, 14940]",11,11,11,10,11,11,11,11
"(14940, 15000]",12,12,10,6,12,12,12,12
"(15000, 15060]",10,10,10,7,10,10,10,10
"(15060, 15120]",8,8,7,5,8,8,8,8
"(15120, 15180]",7,7,7,5,7,7,7,7
"(15180, 15240]",13,13,12,11,13,13,13,13
"(15240, 15300]",2,2,2,2,2,2,2,2
"(15300, 15360]",8,8,8,5,8,8,8,8
"(15360, 15420]",9,9,8,4,9,9,9,9
"(15420, 15480]",10,10,10,7,10,10,10,10
"(15480, 15540]",6,6,4,3,6,6,6,6
"(15540, 15600]",13,13,13,12,13,13,13,13
"(15600, 15660]",6,6,6,4,6,6,6,6
"(15660, 15720]",5,5,5,4,5,5,5,5
"(15720, 15780]",5,5,4,5,5,5,5,5
"(15780, 15840]",12,12,12,8,12,12,12,12
"(15840, 15900]",5,5,4,2,5,5,5,5
"(15900, 15960]",7,7,7,5,7,7,7,7
"(15960, 16020]",10,10,10,9,10,10,10,10
"(16020, 16080]",8,8,8,7,8,8,8,8
"(16080, 16140]",6,6,6,3,6,6,6,6
"(16140, 16200]",5,5,4,2,5,5,5,5
"(16200, 16260]",8,8,8,5,8,8,8,8
"(16260, 16320]",13,13,13,10,13,13,13,13
"(16320, 16380]",11,11,10,7,11,11,11,11
"(16380, 16440]",10,10,10,8,10,10,10,10
"(16440, 16500]",10,10,9,6,10,10,10,10
