Finish_Sec,Place,Name,Location,Bib,Net_time,Pace,Division/Place,Sex-Age,Sex-Place,Gun Time,Age_grade,Finish_Sec
"(9000, 9060]",0,0,0,0,0,0,0,0,0,0,0,0
"(9060, 9120]",1,1,1,1,1,1,1,1,1,1,1,1
"(9120, 9180]",1,1,1,1,1,1,1,1,1,1,1,1
"(9180, 9240]",1,1,1,1,1,1,1,1,1,1,1,1
"(9240, 9300]",2,2,2,2,2,2,2,2,2,2,2,2
"(9300, 9360]",0,0,0,0,0,0,0,0,0,0,0,0
"(9360, 9420]",0,0,0,0,0,0,0,0,0,0,0,0
"(9420, 9480]",1,1,1,1,1,1,1,1,1,1,1,1
"(9480, 9540]",1,1,1,1,1,1,1,1,1,1,1,1
"(9540, 9600]",1,1,1,1,1,1,1,1,1,1,1,1
"(9600, 9660]",0,0,0,0,0,0,0,0,0,0,0,0
"(9660, 9720]",0,0,0,0,0,0,0,0,0,0,0,0
"(9720, 9780]",0,0,0,0,0,0,0,0,0,0,0,0
"(9780, 9840]",0,0,0,0,0,0,0,0,0,0,0,0
"(9840, 9900]",0,0,0,0,0,0,0,0,0,0,0,0
"(9900, 9960]",1,1,1,1,1,1,1,1,1,1,1,1
"(9960, 10020]",2,2,2,2,2,2,2,2,2,2,2,2
"(10020, 10080]",1,1,1,1,1,1,1,1,1,1,1,1
"(10080, 10140]",0,0,0,0,0,0,0,0,0,0,0,0
"(10140, 10200]",1,1,1,1,1,1,1,1,1,1,1,1
"(10200, 10260]",4,4,4,4,4,4,4,4,4,4,4,4
"(10260, 10320]",3,3,3,3,3,3,3,3,3,3,3,3
"(10320, 10380]",2,2,2,2,2,2,2,2,2,2,2,2
"(10380, 10440]",4,4,4,4,4,4,4,4,4,4,4,4
"(10440, 10500]",4,4,4,4,4,4,4,4,4,4,4,4
"(10500, 10560]",4,4,4,4,4,4,4,4,4,4,4,4
"(10560, 10620]",3,3,3,3,3,3,3,3,3,3,3,3
"(10620, 10680]",6,6,6,6,6,6,6,6,6,6,6,6
"(10680, 10740]",6,6,6,6,6,6,6,6,6,6,6,6
"(10740, 10800]",9,9,9,9,9,9,9,9,9,9,9,9
"(10800, 10860]",10,10,10,10,10,10,10,10,10,10,10,10
"(10860, 10920]",11,11,11,11,11,11,11,11,11,11,11,11
"(10920, 10980]",5,5,5,5,5,5,5,5,5,5,5,5
"(10980, 11040]",2,2,2,2,2,2,2,2,2,2,2,2
"(11040, 11100]",5,5,5,5,5,5,5,5,5,5,5,5
"(11100, 11160]",4,4,4,4,4,4,4,4,4,4,4,4
"(11160, 11220]",6,6,6,6,6,6,6,6,6,6,6,6
"(11220, 11280]",6,6,6,6,6,6,6,6,6,6,6,6
