Name,Jorge Maravilla,Ben Demaree,Chris J.,Matthew Duffy,Nathan Krah,Abi Agh,Matt Deyo,Robert Ressl-Moyer,Alexander Tyner,Iain Macdonald,Brian Solomon,Jonathan K.,Shane Young,Justin Mikecz,Zac J.,Yu Zhang,Ian Driver,Chris Schwab,Kristi C.,Matthew Conrad,Emily Sakata
Mile1,5:44,5:43,5:46,5:47,5:46,5:45,5:47,6:10,5:45,6:11,6:05,6:18,5:46,6:01,5:47,6:51,5:47,6:34,7:04,7:01,12:15
Mile2,5:53,5:53,5:52,5:54,5:54,5:53,5:53,6:14,5:53,6:26,6:01,6:22,5:53,6:05,5:52,6:39,5:54,6:39,6:57,6:45,12:11
Mile3,5:40,5:34,5:40,5:40,5:35,5:44,5:39,6:12,5:44,6:32,6:10,6:21,5:57,6:14,5:43,6:42,6:11,6:35,6:57,6:56,10:38
Mile4,4:55,5:42,5:41,5:40,5:35,5:41,5:35,6:08,5:39,6:26,6:04,6:17,5:54,6:12,5:49,6:38,6:18,6:37,6:52,6:51,11:41
Mile5,5:42,5:36,5:44,5:43,5:40,5:45,5:41,6:12,6:25,6:25,6:09,6:23,5:52,6:13,5:54,6:39,6:12,6:38,6:46,6:56,11:37
Mile6,5:55,5:54,6:10,6:08,6:02,6:38,6:02,6:45,5:47,7:06,7:00,7:00,6:35,7:01,6:37,7:23,7:08,7:03,7:15,7:27,12:58
Mile7,5:19,5:32,5:38,5:30,5:28,5:53,5:23,6:10,5:47,6:33,6:01,6:17,5:53,6:02,5:49,6:30,6:04,6:31,6:38,6:42,11:55
Mile8,5:26,5:32,5:41,5:25,5:13,5:50,5:21,6:05,5:43,6:17,6:02,6:11,5:49,6:02,5:47,6:30,6:07,6:27,6:34,6:36,11:31
Mile9,5:34,5:41,5:57,5:42,5:35,6:03,5:35,6:18,5:53,6:30,6:13,6:17,6:00,6:11,6:02,6:44,6:23,6:38,6:42,6:39,11:10
Mile10,5:37,5:38,5:50,5:45,5:37,5:58,5:37,6:36,6:05,6:17,6:18,6:21,5:58,6:23,6:07,6:47,6:28,6:38,6:42,6:36,11:37
Mile11,5:02,5:24,5:34,5:25,5:20,5:51,5:09,5:56,5:43,5:57,5:47,6:15,5:44,5:53,5:43,6:08,5:56,6:14,6:28,6:12,11:24
Mile12,5:53,5:46,6:01,6:05,5:56,6:19,5:49,6:27,6:17,6:24,6:38,6:33,6:39,6:47,6:31,6:57,6:49,6:44,6:53,6:46,11:55
Mile13,5:41,5:46,5:50,5:46,5:50,6:06,5:43,6:08,10:40,6:18,6:21,7:12,5:59,6:19,6:16,6:43,6:32,6:30,6:39,6:43,10:49
Mile14,5:24,5:28,5:37,5:39,5:35,5:56,5:54,6:12,6:03,6:06,6:07,6:02,5:48,5:58,5:57,6:10,6:04,6:20,6:30,6:28,11:06
Mile15,5:37,5:44,5:48,5:56,6:06,6:14,5:54,6:21,6:03,6:21,6:20,6:23,6:05,6:30,6:27,6:26,6:33,6:33,6:40,6:36,11:23
Mile16,5:46,5:42,5:56,6:00,6:23,6:19,6:09,6:50,6:17,6:20,6:33,6:22,6:32,6:41,6:47,6:27,6:49,6:41,6:40,6:43,10:51
Mile17,5:46,5:48,5:58,5:59,6:09,6:17,6:09,6:19,7:52,6:27,6:41,6:31,6:24,6:38,6:52,6:36,6:47,6:40,6:42,6:45,12:24
Mile18,5:23,5:28,5:43,5:51,6:12,5:56,5:58,6:01,6:02,6:09,6:22,6:14,5:59,6:25,6:34,6:09,6:34,6:35,6:21,6:43,12:02
Mile19,5:30,5:43,5:50,5:53,6:12,6:02,7:03,6:11,7:16,6:10,6:42,6:11,6:21,6:29,7:14,6:12,6:52,6:24,6:20,6:36,10:59
Mile20,5:25,5:45,5:46,6:06,6:14,6:10,6:36,6:12,6:14,6:30,7:15,6:23,6:50,6:38,7:31,6:20,7:00,6:28,6:18,6:31,10:12
Mile21,5:10,5:36,5:33,5:44,5:50,5:49,6:50,5:50,6:07,6:11,6:07,5:58,6:21,6:09,7:05,6:00,6:43,6:10,6:00,6:04,10:28
Mile22,5:12,5:32,5:35,5:47,6:07,5:54,6:55,5:57,6:06,6:20,6:32,6:07,6:50,6:49,7:10,5:58,6:57,6:16,6:17,6:23,10:51
Mile23,5:39,5:50,5:54,6:30,6:07,6:05,8:26,6:16,6:28,6:52,7:18,6:32,7:48,6:56,7:38,6:29,7:08,6:31,6:24,6:39,11:06
Mile24,5:33,5:56,6:08,6:30,6:18,6:10,7:41,6:19,6:14,6:47,6:44,6:45,7:42,7:13,7:22,6:25,7:23,6:55,6:20,6:37,0:00
Mile25,5:29,5:54,5:55,6:19,6:38,6:05,6:58,6:21,5:59,6:33,6:56,6:41,7:22,7:05,7:21,6:22,7:06,6:48,6:17,6:13,0:00
Mile26,5:46,5:54,6:10,6:34,6:52,6:02,7:59,6:39,6:11,6:39,6:37,7:08,8:27,7:36,7:36,6:21,7:11,6:51,6:14,6:29,0:00
Mile27,5:48,5:39,6:29,6:28,6:29,5:46,16:56,6:30,5:57,6:09,6:24,6:48,7:30,7:09,6:34,6:02,6:24,6:22,6:09,5:55,0:00
